,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1001.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,357.23,1001.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,598.35,228.14,1159.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,801.65,443.68,898.74,221.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855.28,425.43,1601.65,643.95,671.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1398.35,401.65,590.43,1120.43,1201.65,398.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1001.65,999.06,832.73,785.96,801.65,1798.35,1598.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1387.57,342.78,978.98,1430.95,851.44,897.32,159.58,894.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1001.65,991.56,1201.65,798.35,831.33,1401.65,131.35,1001.65,998.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,601.65,793.93,613.99,404.85,998.35,1598.35,153.42,162.85,1201.65,1263.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1369.6,378.92,665.84,1128.18,1198.35,554.01,822.16,998.35,1601.65,1601.65,1247.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1382.03,1801.65,870.88,881.86,1601.65,201.69,601.65,652.91,148.9,401.33,1198.35,1705.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1601.65,398.35,697.04,998.35,1033.89,1401.65,1578.41,1198.35,1198.35,1001.65,598.35,798.35,796.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14.71,1398.35,600.21,369.09,201.65,1598.35,909.74,1598.35,1801.65,1233.46,201.65,998.35,654.97,526.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,607.03,1201.65,791.17,169.56,1211.56,598.35,594.13,914.02,1601.65,1369.41,398.35,1035.13,1023.79,1739.44,780.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1201.65,205.73,1.65,1401.65,206.84,1601.65,1798.35,22.48,601.65,1094.59,1201.65,1.65,1401.65,798.35,1095.84,1006.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1216.3,664.45,415.98,998.35,544.94,1198.35,798.35,1398.35,1201.65,696.27,1398.35,1.65,392.79,949.21,801.65,201.65,221.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,998.35,1532.02,1001.65,1198.35,1401.65,1398.35,1758.78,1201.65,219.31,1.65,1215.14,201.65,913.75,1277.46,1201.65,1001.65,27.42,425.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,998.35,813.88,1798.35,1231.48,1509.45,1198.35,201.65,999.27,257.2,951.82,1601.65,398.35,243.87,554.99,1624.06,181.55,44.48,601.65,1615.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1124.94,387.73,-1.65,201.65,379.36,1043.68,1001.65,380.82,1322.66,515.75,1401.65,1198.35,954.3,356.04,1036.21,600.17,483.82,1601.65,324.36,737.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1382.57,794.97,1098.28,398.35,398.35,1198.35,1201.65,1398.35,898.56,280.87,944.58,1421.64,601.65,601.65,801.65,612.31,1424.79,737.08,398.35,1168.39,201.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,287.6,401.65,1201.65,922.59,1598.35,998.35,1055.06,1143.37,1801.65,-1.65,503.59,381.66,598.35,398.35,1141.03,1601.65,1801.65,201.65,1401.65,1.65,1401.65,1455.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,761.24,1464.82,598.35,1001.65,1123.44,367.32,1474.07,190.5,601.65,598.26,998.35,1198.35,1042.95,686.47,1801.65,211.81,1198.35,801.65,1801.65,798.35,954.47,1771.9,365.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,840.08,401.65,1220.04,1759.01,1001.65,801.65,334.17,1034.0,201.65,391.49,1730.23,801.65,1549.53,198.35,1193.95,798.35,201.65,1222.29,198.35,30.14,398.35,1643.11,1598.35,-1.65,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1398.35,198.35,598.35,1398.35,1798.35,1001.65,1198.35,866.8,1801.65,201.65,401.65,955.23,1042.8,801.65,126.5,692.4,1136.34,1001.65,401.65,589.72,651.62,661.94,1598.35,1366.29,387.87,,,,,,,,,,,,,,,,,,,,,,,,,
25,942.62,1267.06,798.35,1001.65,499.98,525.77,1177.48,407.12,601.65,398.35,1401.65,1598.35,315.2,1801.65,1201.65,1784.57,201.65,1.65,1.65,531.61,1398.35,1201.65,1601.65,610.53,1019.73,557.36,,,,,,,,,,,,,,,,,,,,,,,,
26,1601.65,401.65,1198.35,201.65,63.72,1021.82,1601.65,1190.15,1752.75,198.35,198.35,1613.04,1014.91,953.7,1420.86,1386.75,398.35,185.96,398.35,1801.65,401.65,769.74,1201.65,1198.35,1401.65,998.35,1601.65,,,,,,,,,,,,,,,,,,,,,,,
27,1.65,1598.35,1127.95,1401.65,693.85,998.35,680.11,398.35,907.32,198.35,930.01,990.03,436.04,995.08,660.32,1801.65,1201.65,593.98,223.45,1801.65,1260.58,1104.14,401.65,198.35,819.8,594.73,1595.27,237.62,,,,,,,,,,,,,,,,,,,,,,
28,186.4,1490.33,398.35,1598.35,601.65,401.26,1201.65,405.22,1788.14,284.3,1213.5,1790.46,798.35,185.58,1.65,1147.95,601.65,1262.55,1789.9,598.35,1801.65,1542.0,818.16,229.32,601.65,398.35,1038.51,1.65,1271.36,,,,,,,,,,,,,,,,,,,,,
29,982.97,398.35,398.35,1487.64,680.14,644.66,1089.29,398.35,801.65,1304.74,801.65,1001.65,201.65,404.89,1029.76,514.59,1073.21,1800.37,1398.35,735.77,628.69,798.35,398.35,-1.65,1193.42,1398.35,1801.65,1801.65,125.93,187.65,,,,,,,,,,,,,,,,,,,,
30,1198.35,43.75,601.65,990.44,27.25,451.28,1010.36,1201.65,598.35,1466.09,804.91,1642.18,26.74,886.42,1566.36,398.35,1801.65,261.48,-1.65,1798.35,800.49,631.05,1372.34,569.56,1001.65,429.52,-1.65,347.67,198.35,1598.35,1601.65,,,,,,,,,,,,,,,,,,,
31,601.65,-1.65,401.65,201.65,1201.65,604.9,1001.65,601.65,198.35,1798.35,598.35,1798.35,785.71,862.29,427.63,1401.65,1232.65,1601.65,295.88,998.35,463.96,1429.56,858.87,972.03,1399.81,1201.65,1198.35,1184.08,1198.35,398.35,798.35,847.91,,,,,,,,,,,,,,,,,,
32,1.65,448.59,601.65,672.93,401.65,460.06,1319.92,787.05,1601.65,1190.28,1359.45,1398.35,5.88,1656.36,804.88,1798.35,1198.35,1082.6,1284.14,1598.35,261.87,995.15,336.5,827.45,1377.87,1601.65,998.35,1001.65,801.65,401.65,1039.21,1117.39,798.35,,,,,,,,,,,,,,,,,
33,798.35,1665.96,583.8,1013.11,598.35,1585.63,1436.43,1201.65,401.65,1201.65,528.78,815.94,1201.65,1598.35,998.35,778.56,601.68,1506.41,1032.96,-1.65,413.06,699.45,1000.07,1154.1,1315.09,1788.76,198.35,383.99,601.65,1401.65,401.65,1265.56,1564.06,1550.71,,,,,,,,,,,,,,,,
34,998.35,708.85,1528.69,407.3,1654.35,1750.2,399.9,1619.86,1598.35,1198.35,1401.65,1641.43,1401.65,547.9,601.65,1401.65,1198.35,1004.85,798.35,-1.65,747.14,398.35,262.57,333.85,840.8,418.35,1398.35,1784.13,598.35,1401.65,56.81,1477.21,1006.07,1201.65,198.35,,,,,,,,,,,,,,,
35,1398.35,598.35,1598.35,1001.65,1201.65,-1.65,1.65,198.35,598.35,1666.72,1283.15,398.35,834.54,1395.12,308.82,1398.35,691.58,430.72,839.81,1601.65,1398.35,798.35,1252.11,835.43,1398.35,854.32,601.65,1201.65,784.83,1201.65,986.55,670.13,520.76,1198.35,1198.35,463.6,,,,,,,,,,,,,,
36,798.35,1675.08,1586.95,999.33,738.21,310.43,288.92,598.35,801.65,201.65,398.35,791.09,1248.85,801.65,468.42,1441.82,1591.32,1001.65,1550.71,990.89,1084.32,1396.19,660.65,987.65,294.0,-1.65,998.35,1201.65,398.35,1198.35,1530.62,1657.61,1798.35,542.76,1606.63,801.65,1798.35,,,,,,,,,,,,,
37,998.35,1199.32,1201.65,1158.19,1398.35,1801.65,198.74,1001.65,90.13,1566.77,489.23,201.65,219.14,381.4,1264.84,1201.65,448.34,970.66,401.65,398.35,472.02,1.65,798.35,1398.35,686.12,1401.65,598.35,64.15,1801.65,1001.65,4.93,324.13,685.71,1598.35,765.24,12.08,801.65,1598.35,,,,,,,,,,,,
38,998.35,289.88,998.35,601.65,405.47,1733.11,362.46,599.63,1422.82,1401.65,1391.56,601.65,121.2,1230.8,1001.65,598.35,686.6,398.35,1246.23,581.16,798.35,1590.15,31.06,798.35,198.35,115.27,1598.35,1030.63,376.97,1579.67,1276.64,1008.35,386.84,1284.31,1198.35,1401.65,820.01,1001.65,401.65,,,,,,,,,,,
39,1201.65,179.91,789.33,998.35,1576.08,862.51,828.41,177.35,605.01,1098.81,647.1,1598.35,1398.35,598.35,801.65,991.32,201.65,-1.65,398.35,224.65,798.35,1801.65,401.65,1598.35,1127.18,998.35,1401.65,801.65,1.65,15.57,598.35,1594.83,749.06,1783.51,398.35,401.65,677.06,1201.65,27.99,1568.43,,,,,,,,,,
40,292.24,801.65,81.72,937.17,795.05,1201.65,601.65,304.17,1217.09,398.35,998.35,1563.45,1598.35,1398.35,1590.44,598.35,801.65,371.21,198.35,1001.65,517.97,1081.64,586.77,998.35,1398.35,798.35,1595.09,1401.65,722.87,1401.65,585.42,1798.35,1801.65,1198.35,1769.68,1642.54,343.36,398.35,1801.65,1297.37,152.22,,,,,,,,,
41,798.35,1201.65,553.71,1423.82,818.71,1000.33,1259.55,598.35,1598.35,998.35,1590.15,989.66,1004.88,1398.35,1653.01,201.65,1.65,598.35,233.91,-1.65,1401.65,1198.35,398.35,769.75,795.15,1188.8,734.63,1028.05,1198.35,398.35,1577.35,1198.35,801.65,198.35,801.65,598.35,685.61,238.93,398.35,1392.2,1774.73,1611.8,,,,,,,,
42,693.32,401.65,1016.94,401.65,398.35,801.65,1801.65,1766.99,1331.11,1231.12,201.65,1198.35,801.65,601.65,801.65,1201.65,798.35,866.12,882.5,598.35,1401.65,355.52,1388.09,198.35,1131.19,1598.35,993.2,12.4,460.52,1401.65,4.96,1398.35,1704.79,550.93,1536.67,1740.64,1598.35,1213.88,601.65,201.65,1598.35,483.85,895.42,,,,,,,
43,1433.79,1201.65,1388.08,211.94,638.3,1169.58,66.59,1801.65,404.86,801.65,1798.35,398.35,748.23,801.65,1201.65,1151.75,560.83,1601.65,168.92,565.41,798.35,798.35,1154.41,938.8,173.9,468.01,1424.19,1598.35,1443.52,998.35,1201.65,1589.13,430.9,1398.35,411.18,915.12,892.5,213.96,1601.65,1401.65,1029.78,1601.65,398.67,1398.35,,,,,,
44,414.31,595.09,398.35,780.84,994.24,1749.99,1201.65,568.52,1386.87,856.76,1201.65,201.65,1366.85,1119.65,1198.35,998.35,1188.08,1601.65,38.43,1693.34,198.35,1398.35,370.24,941.89,798.35,598.35,1201.65,108.35,838.95,198.35,318.34,398.35,15.14,651.74,998.35,1026.13,598.35,814.5,1398.35,398.35,1349.6,198.35,1001.65,1212.1,690.62,,,,,
45,790.7,798.35,250.07,1424.35,603.1,198.35,398.35,1027.53,1601.65,1198.35,1540.35,1201.65,401.65,1401.49,319.8,798.35,598.35,1.65,1538.43,799.58,1801.65,1798.35,1118.19,398.35,601.65,165.48,547.65,998.35,1798.35,1001.65,601.65,401.65,1598.35,598.35,1601.65,198.94,179.88,201.65,401.65,998.35,798.35,-1.65,550.35,1201.65,1598.35,201.65,,,,
46,1491.34,26.18,914.61,1801.65,598.35,819.02,798.35,1316.41,1445.08,1461.54,1201.25,398.35,1601.65,651.84,998.35,-1.65,1398.35,-1.65,198.35,1617.03,1249.35,729.97,1208.76,201.65,476.22,678.13,461.67,1401.65,198.35,1198.35,491.18,998.35,-1.65,598.35,48.74,201.65,252.12,1717.68,798.35,1177.63,398.35,1408.54,801.65,598.35,1016.52,683.19,342.58,,,
47,201.65,401.65,1169.12,1198.35,198.35,1711.62,265.55,657.83,801.65,920.66,598.35,398.35,866.52,801.65,1218.12,601.65,1401.65,1398.35,592.4,1331.51,1142.54,198.35,1412.01,1401.65,1801.65,998.35,1401.65,863.42,556.76,1.65,1146.81,1079.18,398.35,201.65,600.08,660.89,1398.35,-1.08,1663.66,758.71,1.65,825.96,601.65,998.35,-1.65,967.4,383.42,219.23,,
48,998.35,1619.63,175.88,1351.27,801.65,1435.14,1609.81,801.65,440.05,534.77,23.6,874.84,1211.49,830.6,1198.35,1057.74,590.86,198.35,998.35,801.65,798.54,1601.65,1662.92,601.65,801.65,23.11,1201.65,398.35,198.35,444.99,1259.75,687.87,287.09,1191.72,-0.15,1398.35,1.65,532.24,398.35,1412.27,1593.73,1398.35,416.53,975.07,348.47,255.32,1174.89,1.65,598.35,
49,198.35,1529.82,993.29,218.84,362.41,398.35,1007.24,1798.35,401.65,1401.65,106.84,978.72,714.65,1401.65,1401.65,1188.27,1014.72,628.89,1598.35,111.82,1598.35,921.89,1598.35,1207.83,1155.17,598.35,1784.35,-0.36,998.35,398.35,1401.65,1104.56,832.42,637.77,13.81,398.35,1398.35,575.32,601.65,1601.65,1124.37,801.65,198.35,1374.05,835.91,1798.35,1198.35,483.45,15.66,719.23
